"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"400","6.4478921493848507E-1","3.9175189551835140E-24","-7.2498925567012635E-26","3.3518676135746168E-13","7.6442636614522541E-1","6.8642250011986550E-25","2.9096694360190898E+0","6.5521377850897169E+0","2.9043358512556146E+1","5.3681332005683601E+1","1.215058560962404E-2"
"350","6.1590146137348956E-1","6.6703760341763762E-24","9.5431902152417415E-26","-1.0477651199337267E-13","8.3486227451193662E-1","-2.0820847443900989E-25","2.8934309941655401E+0","6.8053069880756585E+0","3.0165569944585442E+1","5.5279509035304201E+1","1.215058560962404E-2"
"300","5.8615923036469886E-1","-4.1398743722403672E-23","6.8862831877046398E-26","-1.5318512007739586E-13","9.1115189622498083E-1","6.3864780324515750E-26","2.8760155676564700E+0","7.0032983436361960E+0","3.1043197081032012E+1","5.9168101657099001E+1","1.215058560962404E-2"
"250","5.5598053941333803E-1","-7.7397643980991659E-23","2.9825543737054272E-25","-3.9198250213216258E-13","9.9282451142622397E-1","8.4699371469315254E-25","2.8572238451017200E+0","7.1535322615104491E+0","3.1709132029393007E+1","6.4913862357613198E+1","1.215058560962404E-2"
"200","5.2572861716743613E-1","-1.4081931173797516E-23","-6.0751474967479302E-26","-2.5496785124598709E-13","1.0794226710929598E+0","-2.8087806855703061E-25","2.8369508478348999E+0","7.2641598714894196E+0","3.2199505926187129E+1","7.2238850998294197E+1","1.215058560962404E-2"
"150","4.9570305124627390E-1","-1.9829657323185845E-25","1.8326712333210431E-26","9.7109731672023796E-14","1.1705695695999270E+0","-1.1863427061426138E-25","2.8151581126813201E+0","7.3427875202183461E+0","3.2548035072846744E+1","8.0954831752445600E+1","1.215058560962404E-2"
"100","4.6614741801161369E-1","7.5495119241426060E-23","3.1389208849278044E-26","-9.0014204625362258E-13","1.2659788957461540E+0","-4.0549552680894305E-25","2.7918573302734302E+0","7.3959299969738730E+0","3.2783597274876172E+1","9.0917827305426499E+1","1.215058560962404E-2"
"50","4.3726108599983926E-1","-8.4348618844394283E-24","-8.3751745525237697E-26","-1.0870005088776416E-12","1.3654383902351162E+0","-2.0466275315195792E-25","2.7671013989765800E+0","7.4289252555148524E+0","3.2929853833338804E+1","1.0199750359733000E+2","1.215058560962404E-2"
