Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,-0.41113967114093153,3.1691700323724134e-24,0.9090758482322694,-9.786908750064868e-13,1.404168225864975,3.408892959096703e-13
0.0030139462366975778,-0.41112693713306825,0.004232061875575558,0.9090716689940913,0.008450030650589784,1.4041426801913612,-0.0027732643608225087
0.00789981216722926,-0.41105218890602346,0.011092203098003135,0.9090471366176744,0.02214746391803172,1.403992727913015,-0.00726889614544394
0.012794374700529434,-0.4109102097059813,0.017963491203243528,0.9090005372434713,0.03586714206091744,1.4037079038237388,-0.011772346361529025
0.017697575174404737,-0.41070065821035573,0.024845177081945547,0.9089317555110094,0.049607561987992224,1.4032875234178273,-0.016283445967548275
0.02260936294120164,-0.4104232018642678,0.03173651610883002,0.9088406773191087,0.06336722949316476,1.4027309198853866,-0.020802032110403715
0.02752968921590381,-0.41007751692820477,0.03863675960698774,0.9087271898146294,0.07714464221637767,1.4020374442095471,-0.02532794247531233
0.03245850797370333,-0.4096632883903034,0.04554515620651926,0.9085911813370631,0.09093829236022843,1.4012064649920224,-0.029861016121312006
0.03739577337225265,-0.4091802101665827,0.05246094833013892,0.9084325414579416,0.10474665967688304,1.4002373688562382,-0.034401091119984045
0.042341442103239375,-0.4086279849286498,0.05938337558920759,0.9082511608982149,0.11856821825277124,1.3991295601030593,-0.03894800672776772
0.047295472443776354,-0.4080063241718963,0.06631167355074831,0.9080469315248442,0.13240143405077537,1.3978824608488762,-0.04350160252231407
0.05225781896898282,-0.40731494899534365,0.07324506645012753,0.9078197465815515,0.1462447503643872,1.3964955125912246,-0.048061713552906775
0.057228444237379876,-0.4065535886021918,0.08018278362756026,0.9075695001709626,0.16009662063936578,1.394968173201878,-0.052628181089375344
0.062207304624645285,-0.4057219823248732,0.08712403983852876,0.9072960878951563,0.17395546916549312,1.393299920990261,-0.05720083961360254
0.06719436651540772,-0.4048198771246517,0.09406805794616631,0.906999406009076,0.18781973638846997,1.3914902496884103,-0.06177953170222666
0.07218958614009353,-0.4038470310754468,0.10101404092267177,0.9066793525416931,0.20168782301265953,1.3895386754405545,-0.06636408951906894
0.07719292841639232,-0.40280321011615683,0.10796119820154403,0.9063358262040035,0.21555814261992576,1.3874447302888246,-0.07095435212508916
0.08220435644964827,-0.4016881899655407,0.11490873115722834,0.9059687269949884,0.22942909268304762,1.3852079660152459,-0.0755501558466271
0.08722382998578498,-0.40050175673135685,0.12185583109793348,0.9055779563790878,0.24329905056320963,1.3828279553642002,-0.08015133287115779
0.09225131652205965,-0.3992437043917247,0.1288016947594348,0.9051634164336636,0.2571664044482372,1.3803042869904045,-0.08475772144279194
0.0972867789591687,-0.39791383770872285,0.13574550731280177,0.9047250107857046,0.27102951943187487,1.3776365713039893,-0.08936915455066191
0.1023301809892257,-0.3965119711150966,0.14268644994939772,0.9042626442229755,0.2848867526622162,1.3748244382374115,-0.09398546488024662
0.10738148599783198,-0.3950379290890038,0.1496236984844018,0.9037762227955954,0.2987364505584994,1.3718675379972987,-0.09860648381830135
0.11244066056310845,-0.39349154518166407,0.15655642827315913,0.9032656534734,0.31257695863101886,1.3687655391139357,-0.10323204466292632
0.11750766943516151,-0.3918726635339717,0.1634838074283326,0.9027308446249825,0.3264066079445051,1.3655181314834535,-0.10786197803984174
0.12258247687700839,-0.3901811386440706,0.17040499879930712,0.9021717059204084,0.3402237190749949,1.362125025901337,-0.11249611314253029
0.12766504736981313,-0.3884168352470749,0.17731916106536405,0.9015881482711126,0.3540266042972875,1.3585859538207936,-0.11713427838839709
0.1327553462198349,-0.38657962817092556,0.18422544968303192,0.9009800837620722,0.3678135694811775,1.354900667063147,-0.12177630198297844
0.13785333880150927,-0.38466940266097627,0.19112301597818093,0.900347425739388,0.3815829122840205,1.351068938468354,-0.12642201123939956
0.1429589878391534,-0.38268605554101875,0.19801100361405383,0.8996900891759324,0.3953329151053252,1.3470905642231776,-0.13107123011547184
0.14807225820813988,-0.3806294935206691,0.20488855522662447,0.8990079900922217,0.4090618583379243,1.3429653604651162,-0.1357237836018735
0.1531931127733939,-0.3784996348944658,0.2117548069462466,0.8983010461013864,0.42276800943716764,1.3386931666896353,-0.14037949394488008
0.15832151744597936,-0.3762964075583355,0.2186088953261328,0.8975691757332985,0.43644963675668,1.3342738417703712,-0.14503818525788126
0.16345743268457297,-0.3740197527104247,0.225449946114143,0.8968122996464591,0.4501049871406274,1.3297072713812017,-0.14969967581213817
0.16860082207992966,-0.37166962132427644,0.23227708589478666,0.8960303394405009,0.46373230916824687,1.3249933609205942,-0.15436378585253113
0.17375164596099768,-0.36924597706701745,0.2390894337211886,0.8952232186104511,0.4773298364558986,1.3201320413634707,-0.15903033180818124
0.1789098674255018,-0.3667487936383174,0.24588610927366822,0.8943908616460131,0.4908958039474629,1.3151232639220316,-0.16369913177572887
0.1840754460936145,-0.36417805780893164,0.25266622475826384,0.893533195028901,0.5044284317492104,1.309967006138641,-0.1683699998758446
0.18924834224498127,-0.36153376758665323,0.2594288905463095,0.8926501466083403,0.5179259363920505,1.3046632682051726,-0.17304275001818484
0.19442851654979915,-0.3588159323854446,0.26617321496373,0.891741645643531,0.5313865304162781,1.2992120733002177,-0.17771719567048888
0.1996159270048951,-0.3560245747371557,0.2728983004738237,0.8908076233633063,0.5448084147586325,1.293613471020081,-0.18239314711110657
0.20481052995611965,-0.3531597299663354,0.27960324522897917,0.8898480128472172,0.5581897818553903,1.2878675367240886,-0.18707041237734656
